long,lat,calle_nombre,calle_altura,modelo,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.439454067140105,-34.662284344991996,LAFUENTE,3109,MECÁNICA,Villa Soldati,Comuna 8,1437,C1437BVA
-58.4383171295403,-34.6631870876918,LAFUENTE,3255,MECÁNICA,Villa Soldati,Comuna 8,1437,C1437BVB
-58.4789794321331,-34.6402264080968,LAGUNA,568,MECÁNICA,Parque Avellaneda,Comuna 9,1407,C1407JVF
-58.476504839233506,-34.642184214096396,LAGUNA,852,MECÁNICA,Parque Avellaneda,Comuna 9,1407,C1407JVL
-58.4730187634342,-34.6449355374959,LAGUNA,1160,MECÁNICA,Parque Avellaneda,Comuna 9,1407,C1407JVR
-58.451599692538394,-34.661791470992796,LAGUNA,2928,MECÁNICA,Villa Soldati,Comuna 8,1437,C1437CIB
-58.490473848129795,-34.616065059499995,"LAMARCA, EMILIO",1724,MECÁNICA,Villa Santa Rita,Comuna 11,1407,C1407DGJ
-58.494831019928895,-34.6114619880007,"LAMARCA, EMILIO",2244,MECÁNICA,Villa Del Parque,Comuna 11,1417,C1417ALD
-58.4956578737287,-34.6104322935009,"LAMARCA, EMILIO",2358,MECÁNICA,Villa Del Parque,Comuna 11,1417,C1417ALF
-58.472492541531494,-34.6037562506,"LAMAS, ANDRES",2384,MECÁNICA,Paternal,Comuna 15,1416,C1416BIZ
-58.379216097946994,-34.6406886653903,LANIN,141,MECÁNICA,Barracas,Comuna 4,1274,C1274AEC
-58.42978868704,-34.6416660872935,LANZA,2124,MECÁNICA,Nueva Pompeya,Comuna 4,1437,C1437CPD
-58.428961765640295,-34.6448601278931,LANZA,2394,MECÁNICA,Nueva Pompeya,Comuna 4,1437,C1437CPH
-58.4076486933399,-34.5943391911969,LAPRIDA,1242,MECÁNICA,Recoleta,Comuna 2,1425,C1425EKF
-58.4650619870286,-34.5473161647054,"LARRALDE, CRISOLOGO AV.",2083,MECÁNICA,Nu\u00f1ez,Comuna 13,1429,C1429BTA
-58.4935909377256,-34.5621500603057,"LARRALDE, CRISOLOGO AV.",5148,MECÁNICA,Villa Urquiza,Comuna 12,1431,C1431APJ
-58.5030512461246,-34.5665990208058,"LARRALDE, CRISOLOGO AV.",5959,MECÁNICA,Saavedra,Comuna 12,1431,C1431APY
-58.5067940554242,-34.568503267005894,"LARRALDE, CRISOLOGO AV.",6251,MECÁNICA,Saavedra,Comuna 12,1431,C1431AQE
-58.497374033631495,-34.6547456344965,LARRAYA,1710,MECÁNICA,Mataderos,Comuna 9,1440,C1440CWF
-58.495156260331896,-34.6565915366961,LARRAYA,1949,MECÁNICA,Mataderos,Comuna 9,1440,C1440CWI
-58.4899188496329,-34.6606289614954,LARRAYA,2391,MECÁNICA,Mataderos,Comuna 9,1440,C1440CWQ
-58.4879537997333,-34.6622115787951,LARRAYA,2555,MECÁNICA,Mataderos,Comuna 9,1440,C1440CWU
-58.485605614433794,-34.6640414509948,LARRAYA,2787,MECÁNICA,Villa Lugano,Comuna 8,1439,C1439EJC
-58.4837358846341,-34.665500747794496,LARRAYA,2945,MECÁNICA,Villa Lugano,Comuna 8,1439,C1439EJG
-58.480932901734704,-34.6676786365941,LARRAYA,3137,MECÁNICA,Villa Lugano,Comuna 8,1439,C1439EJK
-58.4796422811349,-34.6686819489939,LARRAYA,3271,MECÁNICA,Villa Lugano,Comuna 8,1439,C1439EJM
-58.47055465503671,-34.6757092890926,LARRAYA,4096,MECÁNICA,Villa Lugano,Comuna 8,1439,C1439EKF
-58.4691822792369,-34.6769228271924,LARRAYA,4211,MECÁNICA,Villa Lugano,Comuna 8,1439,C1439EKI
-58.5146829662281,-34.6415098943989,LARRAZABAL,198,MECÁNICA,Liniers,Comuna 9,1408,C1408HEN
-58.513624470728296,-34.6422584516988,LARRAZABAL,290,MECÁNICA,Liniers,Comuna 9,1408,C1408HEO
